id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Whispers,Melancholy Notes,classical,sad,0.22,88,0.35,0.12,0.95
12,Bass Drop,Synth Wave Collective,electronic,energetic,0.94,128,0.71,0.92,0.08
13,Southern Roads,The Wanderers,country,nostalgic,0.55,100,0.68,0.71,0.82
14,Rhythm Nation,Urban Beats,hip-hop,groovy,0.78,95,0.62,0.85,0.15
15,Rebel Heart,Metal Storm,metal,intense,0.95,160,0.35,0.68,0.12
16,Island Breeze,Reggae Vibes,reggae,peaceful,0.48,92,0.73,0.79,0.68
17,Folk Tales,Acoustic Heart,folk,melancholic,0.35,76,0.42,0.38,0.94
18,Smooth Grooves,Soul Motion,R&B,uplifting,0.70,108,0.80,0.81,0.25
